Drug Protein Probability
Lenalidomide NR3C1 0.9313885
Celecoxib ESR1 0.9920896
Celecoxib PPARG 0.9941989
Celecoxib ADRA2A 0.99114746
Celecoxib ADRA2C 0.932591
Celecoxib HTR2A 0.9557234
Celecoxib SLC6A2 0.98936874
Celecoxib HTR2C 0.93059784
Celecoxib ADRA2B 0.923064
Celecoxib HMGCR 0.9250239
Celecoxib SLC6A4 0.9174432
Celecoxib DRD2 0.9179357
Celecoxib OPRM1 0.98760605
Celecoxib NR3C1 0.99282515
Celecoxib PPARD 0.94920087
Celecoxib FGFR3 0.9082071
Celecoxib NRIP1 0.9425473
Brimonidine CHRM1 0.99506325
Brimonidine ADRB1 0.9929328
Brimonidine SCN5A 0.99607277
Brimonidine CHRM5 0.9767219
Brimonidine SLC12A3 0.99646616
Brimonidine ADRA1A 0.9175234
Brimonidine HTR2C 0.9877665
Brimonidine GLRA2 0.9503762
Brimonidine PDE4D 0.9383612
Brimonidine MAOB 0.9786799
Dicloxacillin CHRM1 0.9584233
Dicloxacillin PTGS2 0.99369025
Nabilone CHRM5 0.9475696
Nabilone SLC6A4 0.9744468
Sotalol DRD1 0.9195562
Sotalol SCN5A 0.9918697
Sotalol PPARG 0.91558987
Sotalol OPRD1 0.96573037
Sotalol SLC6A2 0.9912196
Sotalol ADRA1A 0.9976509
Buspirone GABRA1 0.96283305
Miglitol CHRM1 0.90427107
Miglitol GABRA4 0.92719615
Miglitol SLC6A2 0.90461326
Miglitol ADRA1A 0.99451727
Miglitol ADRA1B 0.9022662
Miglitol ADRB2 0.9384726
Miglitol NR3C1 0.9017158
Miglitol MAOA 0.9128157
Miglitol GABRG3 0.9647992
Fosinopril ESR1 0.90036625
Fosinopril ADRA2A 0.90757984
Fosinopril SLC6A2 0.9140412
Fosinopril HTR2C 0.9132967
Fosinopril OPRK1 0.98559743
Fosinopril GABRA1 0.9939839
Fosinopril GABRB1 0.9374008
Fosinopril GABRB3 0.9872436
Cefotaxime PTGS2 0.90883905
Cefotaxime SLC6A4 0.90044075
Cefotaxime NR3C1 0.94699836
Entacapone KCNH2 0.95943534
Entacapone HTR2A 0.9990287
Zidovudine CHRM3 0.9798513
Zidovudine PTGS2 0.9669649
Zidovudine RXRA 0.9808972
Zidovudine GABRA4 0.9774859
Zidovudine ADRB2 0.92088455
Zidovudine OPRM1 0.97366536
Zidovudine GABRA1 0.9891082
Zidovudine GABRG2 0.91042817
Darifenacin ADRA2A 0.96915925
Darifenacin HTR2A 0.9842338
Darifenacin OPRK1 0.9203197
Darifenacin TOP2A 0.9481699
Darifenacin OPRM1 0.99262357
Darifenacin HTR6 0.9380633
Oxycodone CHRM3 0.9768713
Oxycodone ADRA2A 0.99041474
Oxycodone DRD2 0.915349
Flutamide PTGS1 0.95310634
Flutamide ADRB1 0.9948968
Flutamide PPARG 0.95410746
Flutamide PTGS2 0.9948538
Flutamide SLC6A2 0.9496877
Flutamide CHRM2 0.96660066
Flutamide SLC6A3 0.9061886
Flutamide TOP2A 0.9045308
Flutamide NR3C1 0.98849887
Cimetidine HTR2B 0.96795315
Haloperidol NOS2 0.9308429
Haloperidol CHRM3 0.9436722
Haloperidol CHRM1 0.99945647
Haloperidol AR 0.9361763
Haloperidol PPARG 0.9750396
Haloperidol RXRA 0.95548815
Haloperidol OPRD1 0.91231996
Haloperidol SLC6A2 0.9270521
Haloperidol ADRA2B 0.95805293
Haloperidol TOP2A 0.9407199
Haloperidol ESR2 0.9607574
Haloperidol NR3C1 0.9959351
Haloperidol MAPK1 0.99559456
Haloperidol GABRB3 0.91552645
Ritonavir PTGS1 0.9942023
Ritonavir CA2 0.91629267
Ritonavir GABRB3 0.96541417
Nitazoxanide PTGS2 0.9721644
Nitazoxanide NR3C1 0.96563554
Albendazole SCN5A 0.9756422
Albendazole ADRA2A 0.96817
Albendazole HTR2A 0.9430344
Albendazole CHRM2 0.99871683
Albendazole ATP1A1 0.92936724
Albendazole NR3C1 0.9130415
Albendazole HTR6 0.9935952
Albendazole ADRB3 0.91886955
Trandolapril SLC6A2 0.92442644
Trandolapril GABRA1 0.9159029
Caspofungin GABRA1 0.9342492
Carteolol CHRM3 0.96421826
Carteolol CHRM1 0.9798086
Carteolol SCN5A 0.9253932
Carteolol ADRA2A 0.9901293
Carteolol HTR1A 0.9156959
Carteolol ADRA2C 0.9869436
Carteolol SLC6A2 0.9944753
Carteolol GABRA3 0.9429275
Carteolol HTR1D 0.9352081
Carteolol DRD2 0.9987219
Carteolol OPRM1 0.91959476
Metolazone TOP2A 0.97042567
Oxaliplatin GRIN3A 0.94852346
Foscarnet CHRM1 0.9870269
Foscarnet HTR2C 0.9164777
Erlotinib PTGS1 0.984353
Erlotinib AGTR1 0.91190326
Erlotinib ADRA2A 0.9803223
Erlotinib ADRA1A 0.989988
Erlotinib ADRB2 0.9782063
Erlotinib SLC6A4 0.9597145
Cyclophosphamide ADRA2B 0.9197716
Mephenytoin KCNH2 0.97945684
Mephenytoin ADRA2B 0.91874313
Mephenytoin NR3C1 0.9756639
Rofecoxib PTGS1 0.9875311
Rofecoxib SLC6A2 0.91512316
Rofecoxib NR3C1 0.90652454
Cefdinir CHRM1 0.9983771
Ciprofloxacin PTGS2 0.9783714
Ciprofloxacin GABRA3 0.95168734
Ciprofloxacin GABRA1 0.9455249
Ciprofloxacin GABRR2 0.925731
Gadoversetamide HTR2B 0.92761254
Toremifene AR 0.9932815
Toremifene BCL2 0.96122515
Toremifene CALM1 0.9972716
Toremifene HTR2A 0.9916544
Toremifene GABRA3 0.9147095
Toremifene NR3C1 0.96947205
Toremifene GABRA1 0.93418247
Nortriptyline PTGS1 0.9909924
Nortriptyline DRD1 0.99766904
Nortriptyline KCNH2 0.93395495
Nortriptyline GABRR1 0.91411453
Nortriptyline DRD5 0.9873455
Nortriptyline ADRB1 0.99293995
Nortriptyline SCN5A 0.98385334
Nortriptyline ABCC8 0.97688156
Nortriptyline BCL2 0.99568117
Nortriptyline PTGS2 0.99939764
Nortriptyline ADRA2A 0.98530406
Nortriptyline HTR3A 0.9501923
Nortriptyline HTR2B 0.9850965
Nortriptyline OPRD1 0.9813866
Nortriptyline ACHE 0.98750824
Nortriptyline GABRA4 0.9977024
Nortriptyline HTR2C 0.9768515
Nortriptyline ADRA2B 0.96507215
Nortriptyline HMGCR 0.91170174
Nortriptyline ADRA1B 0.9984402
Nortriptyline DRD3 0.9825057
Nortriptyline OPRK1 0.9456909
Nortriptyline GRIN3A 0.9247554
Nortriptyline HTR1D 0.99093074
Nortriptyline ADRB2 0.9770592
Nortriptyline ATP1A1 0.9519144
Nortriptyline TOP2A 0.9735328
Nortriptyline DRD2 0.99977213
Nortriptyline NR3C1 0.9437168
Nortriptyline HTR1B 0.99783236
Nortriptyline ATIC 0.9527967
Nortriptyline SCN2A 0.9325814
Nortriptyline GABRB3 0.98889273
Nortriptyline GABRR2 0.97543067
Nortriptyline ADAM17 0.9041336
Nortriptyline MAPK8 0.99407506
Vincristine PTGS1 0.92385143
Vincristine CHRM1 0.96427274
Vincristine AR 0.92510206
Vincristine BCL2 0.9830252
Vincristine NR3C1 0.9419893
Benazepril ADRB1 0.9134732
Benazepril SCN10A 0.9465861
Benazepril OPRD1 0.9340788
Benazepril ADRA1A 0.9184222
Benazepril SLC6A3 0.9359266
Benazepril DRD2 0.93991953
Benazepril GABRA1 0.94669014
Amoxapine NOS2 0.9392683
Amoxapine ADORA1 0.90153843
Amoxapine CHRM3 0.9880535
Amoxapine ADRB1 0.96410775
Amoxapine PTGS2 0.9782683
Amoxapine CALM1 0.9749405
Amoxapine PDE4B 0.94853204
Amoxapine GRIN3A 0.94035554
Amoxapine ADRB2 0.9723334
Amoxapine TOP2A 0.9355643
Amoxapine OPRM1 0.95847505
Amoxapine ADORA2A 0.9391582
Amoxapine GABRB3 0.94223773
Amoxapine GABRG2 0.98573583
Desoximetasone CHRM1 0.9847474
Desoximetasone HTR2A 0.9902778
Azelaic Acid ADRA2C 0.9846571
Azelaic Acid ADRB2 0.9240396
Azelaic Acid DRD2 0.9574925
Azelaic Acid GABRA1 0.93726027
Propylthiouracil PTGS1 0.97473663
Propylthiouracil CHRM3 0.9995703
Propylthiouracil ADRA2A 0.9447637
Propylthiouracil PGR 0.92758507
Propylthiouracil MAOB 0.96717346
Propylthiouracil PLCD1 0.95150155
Piroxicam ADRA2A 0.92151195
Piroxicam HTR2A 0.9858519
Piroxicam GABRA3 0.9513817
Lamotrigine CHRM1 0.93772715
Lamotrigine GABRA3 0.94069415
Lamotrigine HTR2C 0.9458312
Hydroxyzine PTGS2 0.951222
Hydroxyzine GABRA1 0.94949824
Hydroxyzine GABRB3 0.9653759
Hydroxyzine GABRB2 0.92801213
Hydroxyzine GABRD 0.99384415
Bosentan CHRM3 0.9650881
Bosentan ESR1 0.987199
Bosentan PPARG 0.9547272
Bosentan DHFR 0.97701603
Bosentan ACHE 0.97629195
Bosentan PSMD1 0.9343228
Bosentan NR3C2 0.9819666
Bosentan IMPDH2 0.9581773
Bosentan SLC6A4 0.984504
Bosentan GABRA1 0.98389673
Bosentan PDE4A 0.99638176
Bosentan DGKA 0.96043473
Bosentan TLR8 0.97920805
Doxapram CHRM3 0.91930205
Doxapram CHRM1 0.94576156
Doxapram ACE 0.9543075
Doxapram SLC6A2 0.979512
Doxapram OPRM1 0.93080056
Methotrexate DRD1 0.91712284
Methotrexate HTR4 0.9214567
Methotrexate SCN5A 0.97907305
Methotrexate ADRA1B 0.9384889
Methotrexate SLC6A3 0.9948329
Methotrexate BCHE 0.98388404
Carbamazepine DRD1 0.92950696
Carbamazepine CHRM3 0.9563023
Carbamazepine HRH2 0.9223821
Carbamazepine ADRA2A 0.91338843
Carbamazepine SLC6A2 0.98715705
Carbamazepine SLC6A4 0.9398444
Cephalexin ADRB2 0.9994159
Propranolol ESR1 0.9515786
Propranolol ADRA2A 0.99185747
Propranolol HTR1D 0.9833213
Propranolol SLC6A4 0.9697869
Propranolol DRD2 0.9799367
Atropine PTGS1 0.9940019
Atropine PPARG 0.97174567
Atropine ADRA2A 0.97688246
Atropine TYMS 0.92635936
Atropine OPRD1 0.916421
Atropine HTR2A 0.90953326
Atropine GABRA4 0.9139349
Atropine OPRK1 0.9711269
Atropine SLC6A3 0.900076
Atropine DRD2 0.9715927
Atropine OPRM1 0.9950001
Atropine GABRA1 0.9966419
Atropine NR1I2 0.9436648
Fenoprofen ADRB1 0.9220183
Fenoprofen PPARG 0.98543614
Fenoprofen SLC6A2 0.9742843
Fenoprofen GABRA1 0.9456499
Clonidine PTGS1 0.9632405
Clonidine CHRM1 0.9907313
Clonidine SLC12A3 0.92031634
Clonidine HTR2C 0.92809796
Carbenicillin CHRM1 0.996567
Carbenicillin CHRM5 0.9375796
Valdecoxib CHRM1 0.94500613
Valdecoxib ADRB1 0.98000985
Valdecoxib SCN5A 0.91524714
Valdecoxib ADRA2A 0.99454415
Valdecoxib CA2 0.94465
Valdecoxib CHRM4 0.96285266
Valdecoxib OPRD1 0.9764906
Valdecoxib SLC6A2 0.97029895
Valdecoxib ADRB2 0.9664307
Valdecoxib GABRA1 0.9913106
Valdecoxib GABRB3 0.9994485
Lactulose CHRM1 0.90352196
Nizatidine PTGS1 0.95523626
Nizatidine CHRM1 0.9891081
Diclofenac SLC7A11 0.9497084
Diclofenac CHRM3 0.9994855
Diclofenac CHRM1 0.995216
Diclofenac HRH2 0.9726572
Diclofenac SLC18A2 0.9474694
Diclofenac DRD5 0.99092567
Diclofenac SCN5A 0.9861989
Diclofenac ABCC8 0.9271803
Diclofenac ABAT 0.9198447
Diclofenac RBP3 0.9628633
Diclofenac CHRM4 0.98818296
Diclofenac CACNA1G 0.9260323
Diclofenac SLC6A2 0.9802265
Diclofenac PDE4B 0.9401714
Diclofenac ADRA1A 0.95659006
Diclofenac GABRA3 0.9995522
Diclofenac HTR2C 0.9741324
Diclofenac CA4 0.99918467
Diclofenac DRD3 0.9374301
Diclofenac ADRB2 0.95784485
Diclofenac AKR1B1 0.91209453
Diclofenac GABRA1 0.9883773
Diclofenac PDE4D 0.96071005
Diclofenac CYP19A1 0.9059454
Diclofenac BCHE 0.98954695
Diclofenac MAOB 0.9691422
Diclofenac GABRB3 0.93246156
Diclofenac GABRR2 0.9942855
Diclofenac GABRD 0.9167586
Doxazosin PTGS1 0.99909806
Doxazosin CHRM1 0.9854746
Doxazosin GRIN3A 0.98102325
Fluocinolone Acetonide DRD1 0.9329962
Fluocinolone Acetonide ADRA1B 0.9573266
Ethosuximide CHRM1 0.9741605
Ethosuximide ADRB2 0.9993043
Ethosuximide TOP2A 0.928513
Ethosuximide DRD2 0.99243075
Amiloride PTGS1 0.9996853
Amiloride SLC7A11 0.99371135
Amiloride KCNH2 0.9675454
Amiloride GABRR1 0.9442474
Amiloride PDE5A 0.9056947
Amiloride SCN5A 0.9910467
Amiloride ABCC8 0.96619606
Amiloride BCL2 0.99244577
Amiloride CHRM5 0.92077285
Amiloride ABAT 0.9259947
Amiloride PTGS2 0.995235
Amiloride RBP1 0.9871241
Amiloride HTR3A 0.99757427
Amiloride CA2 0.97086763
Amiloride ACHE 0.9518345
Amiloride CACNA1C 0.9345283
Amiloride CACNA1G 0.9538649
Amiloride SLC6A2 0.9549686
Amiloride GABRA3 0.9998617
Amiloride HTR2C 0.9642425
Amiloride CHRM2 0.9150303
Amiloride OPRK1 0.9462335
Amiloride NR3C2 0.934989
Amiloride TOP2A 0.9685431
Amiloride ASNA1 0.98913866
Amiloride OPRM1 0.93690294
Amiloride GABRA1 0.90133667
Amiloride PDE4D 0.9873217
Amiloride GABRB2 0.9866262
Amiloride CACNA1S 0.9469027
Amiloride NISCH 0.9159381
Amiloride GABRR2 0.9909888
Amiloride SNX3 0.93083036
Oxytetracycline PTGS2 0.9058614
Oxytetracycline ADRA2B 0.9117454
Oxytetracycline GABRA1 0.9249488
Oxytetracycline HTR1B 0.90364397
Labetalol DRD1 0.9968952
Labetalol CHRM3 0.98986584
Labetalol CHRM1 0.9341452
Labetalol GABRR1 0.9843501
Labetalol SCN5A 0.91986597
Labetalol ADRA2A 0.95592076
Labetalol HTR2C 0.9938694
Labetalol GRIN3A 0.9877079
Labetalol ADRA1D 0.9810752
Labetalol GABRG2 0.9555871
Labetalol GABRR2 0.9605941
Ivermectin ESR1 0.95971215
Ivermectin PPARG 0.97363436
Ivermectin CA2 0.9306014
Ivermectin CHRM4 0.9474466
Ivermectin CHRM2 0.98775893
Ivermectin ADRA2B 0.9740372
Ivermectin TOP2A 0.9065782
Ivermectin KCNA1 0.91087335
Ivermectin NR3C1 0.90301496
Ivermectin GABRA1 0.9354166
Ivermectin PDE4A 0.9188205
Medroxyprogesterone CHRM1 0.97598267
Medroxyprogesterone AR 0.9752643
Medroxyprogesterone ADRA2A 0.9976648
Medroxyprogesterone ADRA1B 0.9523299
Medroxyprogesterone HTR7 0.93188995
Medroxyprogesterone NR3C1 0.94815576
Medroxyprogesterone GABRA1 0.9805017
Medroxyprogesterone PGD 0.9737935
Sulindac ESR1 0.99585634
Sulindac AR 0.9735834
Sulindac SCN5A 0.9633446
Sulindac ABCC8 0.9889023
Sulindac PPARG 0.9657962
Sulindac ADRA2C 0.9809348
Sulindac CALM1 0.99770385
Sulindac HTR2A 0.94343513
Sulindac SLC6A2 0.99541795
Sulindac ADRA1A 0.914154
Sulindac CHRM2 0.998543
Sulindac ADRA2B 0.9814238
Sulindac SLC6A3 0.99610376
Sulindac HTR1D 0.9129881
Sulindac DRD2 0.92521685
Sulindac NR3C1 0.9977708
Sulindac CACNA1S 0.9213803
Chloroquine PTGS1 0.9985258
Chloroquine ADRA2A 0.97389925
Chloroquine ADRB2 0.9926616
Chloroquine TOP2A 0.99590755
Chloroquine NR3C1 0.9520254
Chloroquine HSP90B1 0.9460476
Chloroquine SCN2A 0.9001741
Ethionamide CHRM3 0.94100183
Ethionamide SLC6A2 0.97661364
Ethionamide NR3C1 0.9845799
Ethionamide GABRB1 0.9491491
Butorphanol CHRM3 0.9359293
Butorphanol CHRM4 0.9012593
Butorphanol SLC6A3 0.9634393
Butorphanol DRD2 0.94851714
Bisoprolol CHRM1 0.9919774
Bisoprolol GABRA4 0.9002626
Bisoprolol GABRA3 0.9298626
Bisoprolol HTR2C 0.9241186
Rifabutin SCN10A 0.97211266
Rifabutin PPARG 0.9232835
Imatinib CHRM3 0.9957633
Imatinib CHRM1 0.9588419
Imatinib ADRB1 0.960712
Imatinib CHRM5 0.9972166
Imatinib ADRA2A 0.9857012
Imatinib CA2 0.9333101
Imatinib CHRM4 0.9962669
Imatinib OPRD1 0.9931953
Imatinib ADRA1A 0.9983151
Imatinib CHRM2 0.99519086
Imatinib ADRA1B 0.98715276
Imatinib ADRA1D 0.95681405
Imatinib TOP2A 0.993389
Imatinib EPHA2 0.99326056
Imatinib PTK2B 0.9678463
Imatinib NR1I2 0.948086
Imatinib IRS1 0.9585034
Imatinib MAPK3 0.93577635
Imatinib RHO 0.9385935
Imatinib DAPP1 0.9058371
Imatinib GABRB2 0.99118173
Imatinib CACNA1D 0.99413764
Imatinib CDH5 0.9392316
Imatinib PDE6G 0.91384697
Imatinib RPS6KA4 0.9099437
Triamcinolone CHRM3 0.96075267
Triamcinolone CHRM1 0.9117406
Triamcinolone ESR1 0.99883574
Triamcinolone AR 0.92119116
Triamcinolone PTGS2 0.97181374
Triamcinolone ADRA2A 0.93043023
Triamcinolone PGR 0.99090517
Triamcinolone DRD2 0.9817778
Oxandrolone CALM1 0.95985526
Oxandrolone SLC6A2 0.9367732
Nicardipine KCNH2 0.9189831
Nicardipine HRH2 0.93025565
Nicardipine DRD5 0.9887821
Nicardipine ADRB1 0.9915432
Nicardipine SCN5A 0.9948096
Nicardipine ACE 0.93532914
Nicardipine PTGS2 0.99965453
Nicardipine ADRA2A 0.99755377
Nicardipine HTR3A 0.97133315
Nicardipine CA2 0.99008
Nicardipine HTR2B 0.98847127
Nicardipine KCNN4 0.95101136
Nicardipine GABRA4 0.91988
Nicardipine SLC6A2 0.99963975
Nicardipine PDE4B 0.9304977
Nicardipine GABRA3 0.9895812
Nicardipine HTR2C 0.9914602
Nicardipine ADRA2B 0.91817296
Nicardipine HMGCR 0.9956756
Nicardipine OPRK1 0.98215586
Nicardipine GRIN3A 0.99547654
Nicardipine SLC6A3 0.9770269
Nicardipine HTR7 0.9272804
Nicardipine ADRB2 0.92692906
Nicardipine IMPDH2 0.9148925
Nicardipine CHRNA2 0.9607708
Nicardipine TOP2A 0.9916997
Nicardipine SLC6A4 0.98932755
Nicardipine DRD2 0.98315054
Nicardipine OPRM1 0.9963219
Nicardipine FDPS 0.9488879
Nicardipine GABRA1 0.98376596
Nicardipine CHRNA4 0.9554333
Nicardipine S100A13 0.91110414
Nicardipine KCNQ2 0.90146786
Nicardipine PDE4D 0.93507653
Nicardipine GABRB1 0.99937576
Nicardipine GABRB3 0.93583107
Nicardipine GABRB2 0.9663402
Nicardipine CACNA1S 0.9797941
Nicardipine KCNQ3 0.95724314
Nicardipine CA9 0.97546685
Nicardipine GABRD 0.9654629
Nicardipine KCNN2 0.9451961
Fluphenazine CHRM3 0.957523
Fluphenazine ADRA2A 0.9995603
Fluphenazine HTR2B 0.92322856
Fluphenazine OPRD1 0.9874933
Fluphenazine ADRA1A 0.9829931
Fluphenazine HTR2C 0.9939394
Fluphenazine ADRA1D 0.99410087
Fluphenazine GABRB3 0.9275104
Testosterone CHRM3 0.9749748
Testosterone CHRM1 0.9928582
Testosterone ESR1 0.91355467
Testosterone PPARG 0.9791886
Testosterone HTR2A 0.96677256
Testosterone GABRA4 0.9103811
Testosterone ADRA1A 0.96301657
Testosterone SLC6A4 0.9419887
Testosterone NR3C1 0.9925243
Alendronate CHRM3 0.9537036
Alendronate SCN5A 0.9644819
Alendronate PPARG 0.9896493
Alendronate ALOX5 0.949591
Alendronate CALM1 0.9264546
Alendronate ACHE 0.97920096
Alendronate GABRA4 0.9241137
Alendronate SLC12A1 0.97171134
Alendronate HTR2C 0.93762547
Alendronate HTR7 0.9668044
Alendronate KCNA1 0.9620081
Alendronate GABRA1 0.9649625
Alendronate CHRNA4 0.9133875
Alendronate DPP4 0.9057712
Alendronate S100A13 0.9215588
Alendronate HTR6 0.9781125
Alendronate FGG 0.98521614
Alendronate CHRNE 0.964735
Clofarabine ADRA2C 0.9119997
Clofarabine CA4 0.9973349
Clofarabine TOP2A 0.961167
Clofarabine NR3C1 0.9788415
Clofarabine GABRA1 0.9150191
Clofarabine AURKA 0.97506225
Dexmedetomidine OPRD1 0.9598219
Prednisone PPARA 0.900117
Prednisone CALM1 0.9136926
Prednisone ADRB2 0.9010969
Adenosine CHRM3 0.94340956
Adenosine ALOX5 0.9763613
Adenosine DRD2 0.9982229
Adenosine DPP4 0.9828493
Adenosine GABRR2 0.9643815
Simvastatin CHRM3 0.9690689
Simvastatin AR 0.90289295
Simvastatin ADRB1 0.9941187
Simvastatin BCL2 0.9171744
Simvastatin PTGS2 0.9620413
Simvastatin ADRA2C 0.97995067
Simvastatin OPRD1 0.9511068
Simvastatin PDE4B 0.9582938
Simvastatin NR3C1 0.9990953
Simvastatin CACNB2 0.9216947
Simvastatin GABRR2 0.9307896
Pemetrexed HTR2A 0.9021302
Pemetrexed GABRA4 0.9906132
Pemetrexed SLC6A2 0.92204535
Pemetrexed MGAM 0.99471337
Pemetrexed MAOA 0.9735116
Pemetrexed GABRD 0.9335783
Mitotane SCN10A 0.94407547
Mitotane GABBR1 0.9879935
Mitotane PTGS2 0.91298157
Mitotane CHRM4 0.9293289
Mitotane ADRA1A 0.9668083
Mitotane SLC6A3 0.9737389
Mitotane ADRB2 0.9942246
Mitotane TSPO 0.9928576
Mitotane CHRNA2 0.93372566
Mitotane DRD2 0.99409544
Mitotane GABRA1 0.9729907
Mitotane KCND3 0.92282414
Leucovorin CHRM3 0.9773302
Leucovorin ADRB1 0.90477735
Leucovorin ADRA2A 0.99041677
Leucovorin SLC6A2 0.9398926
Leucovorin GABRB3 0.9765512
Dyphylline DRD1 0.9956149
Dyphylline SCN5A 0.99451303
Dyphylline ADRA2A 0.93764603
Dyphylline OPRD1 0.98442996
Dyphylline SLC6A2 0.9958247
Pentazocine DRD1 0.95010775
Pentazocine DRD5 0.9080369
Pentazocine ADRB1 0.9666528
Pentazocine SCN5A 0.9079977
Pentazocine ACE 0.9848262
Pentazocine ADRA2A 0.9995036
Pentazocine OPRD1 0.9658868
Pentazocine ADRA1A 0.9979887
Pentazocine ADRB2 0.9608354
Pentazocine GABRA1 0.99679595
Pentazocine GABRB2 0.94209343
Latanoprost ADRB1 0.9459934
Latanoprost ADRA2A 0.9899545
Latanoprost DRD4 0.9551084
Latanoprost CHRM4 0.9576007
Latanoprost GABRA4 0.9002391
Latanoprost SLC6A2 0.99431723
Latanoprost TOP2A 0.91591346
Latanoprost DRD2 0.901606
Latanoprost GABRA1 0.99882585
Trazodone SCN5A 0.9930038
Trazodone ADRA1B 0.988735
Trazodone DRD2 0.99795413
Trazodone GABRA1 0.9071629
Trazodone GABRG3 0.9783611
Trazodone KCND3 0.9408479
Mecamylamine ESR1 0.90010273
Mecamylamine ADRA1A 0.96754485
Acamprosate DRD5 0.96264577
Acamprosate ADRB1 0.9950854
Acamprosate ADRA2A 0.9525707
Acamprosate DRD4 0.97419524
Acamprosate CHRM4 0.9886536
Acamprosate OPRD1 0.9806291
Acamprosate SLC6A2 0.96743715
Acamprosate ADRA1A 0.991852
Acamprosate HTR2C 0.9813943
Acamprosate ADRA1B 0.99963987
Acamprosate OPRK1 0.99316025
Acamprosate OPRM1 0.9926696
Acamprosate GABRA1 0.9949516
Acamprosate GABRB1 0.9224213
Acamprosate GABRB2 0.9840236
Acamprosate KCNQ4 0.9208767
Acamprosate GABRG2 0.9870882
Verapamil CHRM1 0.9998105
Verapamil ESR1 0.91172546
Verapamil DRD5 0.99119943
Verapamil KCNK1 0.96066064
Verapamil ADRB1 0.9896102
Verapamil ABCC8 0.9392417
Verapamil PTGS2 0.99577636
Verapamil AVPR2 0.91944987
Verapamil CA2 0.9977603
Verapamil HTR2B 0.958546
Verapamil CHRM4 0.9907488
Verapamil KCNN4 0.94707286
Verapamil CALM1 0.95962226
Verapamil OPRD1 0.93439263
Verapamil SLC6A2 0.99875546
Verapamil GABRA3 0.93975157
Verapamil HTR2C 0.96059585
Verapamil CHRM2 0.91625583
Verapamil HMGCR 0.9120662
Verapamil ADRA1B 0.977095
Verapamil HTR7 0.95251703
Verapamil HTR1D 0.9977672
Verapamil ADRB2 0.9842247
Verapamil CHRNA2 0.9734072
Verapamil TOP2A 0.9983961
Verapamil DRD2 0.9641618
Verapamil KCNA1 0.96197826
Verapamil NR3C1 0.98868763
Verapamil HTR1B 0.9968725
Verapamil GRIK2 0.9901751
Verapamil GRIA2 0.9966304
Verapamil TOP1 0.9159392
Verapamil PDE4D 0.96531147
Verapamil CHRNA7 0.92270446
Verapamil MTOR 0.9835699
Verapamil PDE1A 0.9326197
Verapamil GABRG3 0.9968125
Verapamil GABRD 0.99623126
Verapamil KCND2 0.9609008
Verapamil KCNMB1 0.98043066
Epinephrine CHRM1 0.9541234
Epinephrine SCN5A 0.9692611
Epinephrine HTR1A 0.9416185
Epinephrine GABRA4 0.91952914
Epinephrine HTR2C 0.9901994
Epinephrine CHRM2 0.9563255
Epinephrine GRIN3A 0.96941704
Epinephrine HTR7 0.9845961
Epinephrine MAOB 0.97816384
Sumatriptan CHRM1 0.9978986
Sumatriptan SCN10A 0.9404384
Sumatriptan HTR2B 0.9567426
Sumatriptan CHRNA2 0.9355244
Sumatriptan CHRNA4 0.9272461
Chlorpropamide DRD5 0.9552568
Chlorpropamide GABRA4 0.9669763
Chlorpropamide TOP2A 0.97171277
Chlorpropamide DRD2 0.93364793
Chlorpropamide GABRA1 0.97451925
Chlorpropamide MAOA 0.9365369
Aprepitant SCN10A 0.90667415
Aprepitant HTR2B 0.90178376
Aprepitant TOP2A 0.9478762
Aprepitant OPRM1 0.97867227
Aprepitant ESR2 0.91018546
Aprepitant NR3C1 0.98141885
Aprepitant GABRB3 0.92880714
Galantamine NOS2 0.99181014
Galantamine ADORA1 0.99487346
Galantamine DRD1 0.9914028
Galantamine TUBB1 0.92124176
Galantamine CHRM3 0.992288
Galantamine RXRB 0.92697597
Galantamine SCN5A 0.99879766
Galantamine PPARG 0.94685876
Galantamine CHRM5 0.99423695
Galantamine ADRA2A 0.999008
Galantamine HTR1A 0.98140806
Galantamine HTR3A 0.94957465
Galantamine CHRM4 0.99745375
Galantamine OPRD1 0.92717475
Galantamine HTR2A 0.9291148
Galantamine ADRA1A 0.9990544
Galantamine GABRA3 0.9423038
Galantamine HTR2C 0.9958763
Galantamine CHRM2 0.99494886
Galantamine ADRA1B 0.98674554
Galantamine HTR1D 0.98749626
Galantamine ADRA1D 0.9879131
Galantamine SLC6A4 0.9961164
Galantamine DRD2 0.9986166
Galantamine NR3C1 0.92063236
Galantamine HTR1B 0.9970728
Galantamine DPP4 0.9690168
Galantamine FGB 0.95119786
Galantamine MAOA 0.9228363
Galantamine GABRB3 0.90140903
Galantamine GABRB2 0.92333394
Galantamine HDAC4 0.96937513
Galantamine PTPRE 0.90307456
Galantamine GABRG3 0.99673516
Galantamine GABRR2 0.9402956
Galantamine GABRD 0.9708265
Tamoxifen HTR2C 0.9409673
Tamoxifen CHRM2 0.9100806
Tamoxifen TOP2A 0.9432851
Tamoxifen NR3C1 0.98797894
Losartan NR3C1 0.99838614
Thioridazine PPARA 0.9510225
Thioridazine CHRM1 0.91519934
Thioridazine LHCGR 0.92313856
Thioridazine ADRB1 0.992964
Thioridazine ACE 0.97869235
Thioridazine PTGS2 0.98999584
Thioridazine ADRA2A 0.99511397
